,zcta,total population,male,female,median age in years,hispanic or latino of any race,white alone,black or african american alone,asian alone,per-capita income,public transportation (excluding taxicab),average household size,positive,total tests,some_other_race,Education Index
52,10026,39363,0.4604323857429566,0.5395676142570435,35.1,0.21311891878159694,0.19673297258847142,0.5029088230063765,0.05863374234687397,41556,0.3880547722480502,2.48,0.007977034270761883,0.015700022864110968,0.028605543276681147,0.4164021023879448
53,11209,67809,0.47934639944550134,0.5206536005544987,40.6,0.168723915704405,0.6454895367871522,0.027031809936734062,0.1333746257871374,43049,0.2864221563509269,2.3,0.009010603312244687,0.01768201861109882,0.02538011178457137,0.4782582338424639
54,10282,5593,0.4839978544609333,0.5160021455390666,35.3,0.07580904702306454,0.6695869837296621,0.008045771500089397,0.20793849454675487,133043,0.23207580904702307,2.51,0.008582156266762024,0.01680672268907563,0.03861970320042911,0.7172097273489959
55,10304,41064,0.4927186830313657,0.5072813169686343,38.1,0.2523621663744399,0.37840931229300606,0.2516803039158387,0.09541203974284045,31436,0.15816773816481589,2.82,0.019603545684784725,0.038330411065653616,0.022136177673874928,0.27650666333191093
56,11101,30043,0.5091701893952002,0.4908298106047998,34.1,0.263222714109776,0.3244016909096961,0.1447924641347402,0.22544353093898745,46327,0.3944346436773957,2.24,0.011683254002596278,0.022833938022168227,0.04213959990680025,0.46530525209972673
57,10302,18204,0.5115908591518348,0.4884091408481652,34.9,0.41084377059986815,0.3120742693913426,0.1923753021313997,0.06970995385629532,27428,0.11920457042408263,2.94,0.01796308503625577,0.03438804658316853,0.014996704021094265,0.1993374407693546
58,11358,37190,0.49389620865824146,0.5061037913417585,43.9,0.16835170744823877,0.33546652325894055,0.0049475665501478895,0.4698305996235547,32348,0.1860446356547459,2.85,0.008093573541274535,0.015488034417854261,0.021403603119118042,0.3034482005239247
59,10027,64548,0.46173390345169485,0.5382660965483052,31.0,0.2544927805664002,0.2508830637664993,0.3675249426783169,0.09482865464460556,32087,0.2713019768234492,2.4,0.007544772882196195,0.014392390159261324,0.032270558344177976,0.39105103413212355
60,11216,56308,0.4688498969950984,0.5311501030049016,34.2,0.10795979256943951,0.2602827306954607,0.5467073950415572,0.05146693187468921,38741,0.4007068267386517,2.31,0.006819634865383249,0.012875612701569937,0.03358314981885345,0.45211276281368895
61,10002,74993,0.48311175709732906,0.5168882429026709,43.6,0.2718920432573707,0.21964716706892642,0.0699931993652741,0.41133172429426745,32694,0.2387422826130439,2.18,0.007387356153240969,0.013934633899163922,0.027135866014161323,0.3174414434974438
62,11364,36806,0.4904906808672499,0.5095093191327501,44.8,0.0957995978916481,0.3402434385697984,0.02092050209205021,0.5190186382655002,37342,0.16951040591207955,2.71,0.007199913057653644,0.013557572134977993,0.0240178231810031,0.4161146749814183
63,11217,41407,0.4699205448354143,0.5300794551645857,35.0,0.18525853116622792,0.5088994614437172,0.1870456686067573,0.07532542806771803,67630,0.39609244813678846,2.33,0.007993817470476006,0.014997464196874925,0.04347091071557949,0.6604580872621908
64,10301,38733,0.4763121885730514,0.5236878114269486,38.2,0.24761830996824413,0.4248573567758759,0.21170578060052153,0.05989724524307438,31347,0.1780393979294142,2.52,0.016187746882503292,0.030361707071489427,0.0559213074122841,0.3181325418919233
65,10029,79597,0.45675088257095114,0.5432491174290488,35.1,0.4789376484038343,0.15465406987700542,0.25827606568086736,0.09290551151425305,29103,0.277987863864216,2.4,0.010716484289608905,0.020013317084814755,0.01522670452403985,0.2544213720222745
66,11205,46064,0.4632684960055575,0.5367315039944425,29.8,0.1769928794720389,0.42267280305661686,0.2949374782910733,0.06812261201806183,31851,0.2730548801667246,2.67,0.008596734977422716,0.015934352205626955,0.0372742271622091,0.30937099085613784
67,10461,50348,0.4865535870342417,0.5134464129657583,37.8,0.4660761102725034,0.3327639628187813,0.0767061253674426,0.10691586557559386,28845,0.20922380233574323,2.6,0.02059664733455152,0.038134583300230396,0.017537935965678875,0.257563324286301
68,11375,73488,0.45851023296320487,0.5414897670367951,42.7,0.15744067058567385,0.4997278467232745,0.024833986501197475,0.27936533855867623,49852,0.3098192902242543,2.22,0.013199433921184412,0.02439854125843675,0.03863215763117788,0.627169347512622
