,Test Date,County,New Positives,Cumulative Number of Positives,Number of New Tests Performed,Cumulative Number of Tests Performed
2916,2020-03-27,Bronx,846,5403,1478,12309
2937,2020-03-27,Brooklyn,1238,8045,2254,17278
2944,2020-03-27,Manhattan,631,5216,1314,14212
2954,2020-03-27,Queens,1238,9275,2055,17839
2956,2020-03-27,Staten Island,415,1827,847,4264
2978,2020-03-26,Bronx,829,4557,1428,10831
2999,2020-03-26,Brooklyn,1106,6807,1905,15024
3006,2020-03-26,Manhattan,523,4585,1062,12898
3016,2020-03-26,Queens,1324,8037,2115,15784
3018,2020-03-26,Staten Island,223,1412,413,3417
3040,2020-03-25,Bronx,838,3728,1770,9403
3061,2020-03-25,Brooklyn,755,5701,1550,13119
3068,2020-03-25,Manhattan,542,4062,1232,11836
3078,2020-03-25,Queens,1238,6713,2110,13669
3080,2020-03-25,Staten Island,164,1189,293,3004
3102,2020-03-24,Bronx,611,2890,1188,7633
3123,2020-03-24,Brooklyn,779,4946,1474,11569
3130,2020-03-24,Manhattan,442,3520,1065,10604
3140,2020-03-24,Queens,1010,5475,1736,11559
3142,2020-03-24,Staten Island,110,1025,223,2711
3164,2020-03-23,Bronx,455,2279,970,6445
3185,2020-03-23,Brooklyn,700,4167,1422,10095
3192,2020-03-23,Manhattan,405,3078,990,9539
3202,2020-03-23,Queens,839,4465,1518,9823
3204,2020-03-23,Staten Island,200,915,487,2488
3226,2020-03-22,Bronx,606,1824,1276,5475
3247,2020-03-22,Brooklyn,702,3467,1506,8673
3254,2020-03-22,Manhattan,607,2673,1367,8549
3264,2020-03-22,Queens,1152,3626,2048,8305
3266,2020-03-22,Staten Island,193,715,417,2001
3288,2020-03-21,Bronx,367,1218,1044,4199
3309,2020-03-21,Brooklyn,893,2765,1941,7167
3316,2020-03-21,Manhattan,522,2066,1370,7182
3326,2020-03-21,Queens,843,2474,1927,6257
3328,2020-03-21,Staten Island,207,522,645,1584
3350,2020-03-20,Bronx,297,851,884,3155
3371,2020-03-20,Brooklyn,538,1872,1378,5226
3378,2020-03-20,Manhattan,370,1544,1263,5812
3388,2020-03-20,Queens,491,1631,1218,4330
3390,2020-03-20,Staten Island,109,315,334,939
3412,2020-03-19,Bronx,191,554,605,2271
3433,2020-03-19,Brooklyn,674,1334,1553,3848
3440,2020-03-19,Manhattan,437,1174,1235,4549
3450,2020-03-19,Queens,519,1140,1179,3112
3452,2020-03-19,Staten Island,116,206,272,605
3474,2020-03-18,Bronx,154,363,597,1666
3495,2020-03-18,Brooklyn,273,660,795,2295
3502,2020-03-18,Manhattan,335,737,1074,3314
3512,2020-03-18,Queens,336,621,768,1933
3514,2020-03-18,Staten Island,33,90,110,333
3536,2020-03-17,Bronx,123,209,433,1069
3557,2020-03-17,Brooklyn,264,387,741,1500
3564,2020-03-17,Manhattan,161,402,598,2240
3574,2020-03-17,Queens,123,285,371,1165
3576,2020-03-17,Staten Island,26,57,61,223
3598,2020-03-16,Bronx,29,86,151,636
3619,2020-03-16,Brooklyn,39,123,171,759
3626,2020-03-16,Manhattan,69,241,398,1642
3636,2020-03-16,Queens,38,162,136,794
3638,2020-03-16,Staten Island,11,31,35,162
3660,2020-03-15,Bronx,29,57,116,485
3681,2020-03-15,Brooklyn,26,84,166,588
3688,2020-03-15,Manhattan,60,172,317,1244
3698,2020-03-15,Queens,49,124,198,658
3700,2020-03-15,Staten Island,6,20,27,127
3722,2020-03-14,Bronx,8,28,80,369
3743,2020-03-14,Brooklyn,17,58,99,422
3750,2020-03-14,Manhattan,28,112,193,927
3760,2020-03-14,Queens,18,75,110,460
3762,2020-03-14,Staten Island,3,14,29,100
3784,2020-03-13,Bronx,10,20,99,289
3805,2020-03-13,Brooklyn,17,41,136,323
3812,2020-03-13,Manhattan,39,84,268,734
3822,2020-03-13,Queens,30,57,154,350
3824,2020-03-13,Staten Island,5,11,34,71
3846,2020-03-12,Bronx,3,10,36,190
3867,2020-03-12,Brooklyn,8,24,59,187
3874,2020-03-12,Manhattan,18,45,186,466
3884,2020-03-12,Queens,15,27,74,196
3886,2020-03-12,Staten Island,4,6,16,37
3908,2020-03-11,Bronx,2,7,31,154
3929,2020-03-11,Brooklyn,2,16,24,128
3936,2020-03-11,Manhattan,3,27,70,280
3946,2020-03-11,Queens,5,12,44,122
3948,2020-03-11,Staten Island,1,2,5,21
3970,2020-03-10,Bronx,0,5,47,123
3991,2020-03-10,Brooklyn,7,14,29,104
3998,2020-03-10,Manhattan,12,24,78,210
4008,2020-03-10,Queens,4,7,18,78
4010,2020-03-10,Staten Island,1,1,5,16
4032,2020-03-09,Bronx,4,5,31,76
4053,2020-03-09,Brooklyn,1,7,31,75
4060,2020-03-09,Manhattan,7,12,47,132
4070,2020-03-09,Queens,0,3,15,60
4072,2020-03-09,Staten Island,0,0,6,11
4094,2020-03-08,Bronx,1,1,16,45
4115,2020-03-08,Brooklyn,2,6,10,44
4122,2020-03-08,Manhattan,0,5,24,85
4132,2020-03-08,Queens,1,3,13,45
4134,2020-03-08,Staten Island,0,0,0,5
4156,2020-03-07,Bronx,0,0,17,29
4177,2020-03-07,Brooklyn,0,4,9,34
4184,2020-03-07,Manhattan,0,5,22,61
4194,2020-03-07,Queens,0,2,14,32
4196,2020-03-07,Staten Island,0,0,2,5
4218,2020-03-06,Bronx,0,0,6,12
4239,2020-03-06,Brooklyn,3,4,12,25
4246,2020-03-06,Manhattan,3,5,14,39
4256,2020-03-06,Queens,1,2,10,18
4258,2020-03-06,Staten Island,0,0,3,3
4280,2020-03-05,Bronx,0,0,5,6
4301,2020-03-05,Brooklyn,0,1,7,13
4308,2020-03-05,Manhattan,1,2,18,25
4318,2020-03-05,Queens,1,1,6,8
4320,2020-03-05,Staten Island,0,0,0,0
4342,2020-03-04,Bronx,0,0,0,1
4363,2020-03-04,Brooklyn,1,1,4,6
4370,2020-03-04,Manhattan,1,1,4,7
4380,2020-03-04,Queens,0,0,0,2
4382,2020-03-04,Staten Island,0,0,0,0
4404,2020-03-03,Bronx,0,0,1,1
4425,2020-03-03,Brooklyn,0,0,2,2
4432,2020-03-03,Manhattan,0,0,3,3
4442,2020-03-03,Queens,0,0,2,2
4444,2020-03-03,Staten Island,0,0,0,0
4466,2020-03-02,Bronx,0,0,0,0
4487,2020-03-02,Brooklyn,0,0,0,0
4494,2020-03-02,Manhattan,0,0,0,0
4504,2020-03-02,Queens,0,0,0,0
4506,2020-03-02,Staten Island,0,0,0,0
